id,name,alias,type,status,relationship,geometry
AdavaleBasin,Adavale Basin,,Basin,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((143.925537922 -3000554.2315877248, 16346403.748648955 -23.572884777307745))"
BelyandoBasin,Belyando Basin,,Basin,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((145.379313517 -23.386533958311954, 146.76581785400003 -20.98733328436835))"
BowenBasin,Bowen Basin,,Basin,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((147.498144895 -3110416.623516571, 16779517.87637011 -20.52932777537966))"
BundockBasin,Bundock Basin,,Basin,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((144.138247407 -19.659951328401565, 144.791907949 -19.222028773412777))"
BurdekinBasin,Burdekin Basin,,Basin,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((145.807558136 -19.897107714395528, 146.96082131599997 -19.078033866416497))"
CalenBasin,Calen Basin,,Basin,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((148.61689898099996 -21.13150952736484, 149.01962275699998 -20.78589281637332))"
CallideBasin,Callide Basin,,Basin,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((150.49900443599995 -24.32601752229114, 150.69230587799996 -24.187844747294104))"
CarpentariaBasin,Carpentaria Basin,,Basin,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((137.99469999999997 -2230128.757394884, 15716205.07274101 -10.70813661065504))"
Clarence-MoretonBasin,Clarence-Moreton Basin,,Basin,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((151.06181100000003 -28.447541933209177, 153.190499609 -26.41809057824758))"
ClarkeRiverBasin,Clarke River Basin,,Basin,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((144.83515774700004 -19.582016267403556, 145.516706399 -19.14728525541468))"
CooperBasin,Cooper Basin,,Basin,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((140.36121587499997 -28.835491821202268, 144.10604249300002 -24.72227146628256))"
DrummondBasin,Drummond Basin,,Basin,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((144.154775889 -25.776666877260514, 149.14189286700002 -20.332740999384555))"
EromangaBasin,Eromanga Basin,,Basin,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((137.99789999999996 -28.999099999199398, 147.84893812300004 -18.865479999422018))"
EskBasin,Esk Basin,,Basin,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((151.412610987 -27.390100399228682, 152.614238795 -25.133776500273832))"
GalileeBasin,Galilee Basin,,Basin,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((141.133538219 -2313078.1333463374, 16255236.90584023 -20.191555848388095))"
